Date (CET),Bid Price
2024-03-11 8:00:00,7.6
2024-03-11 12:00:00,13.9
2024-03-11 16:00:00,6.3
2024-03-11 20:00:00,2.5
2024-03-12 0:00:00,4.5
2024-03-12 4:00:00,1.6
2024-03-12 8:00:00,5.6
2024-03-12 12:00:00,9.1
2024-03-12 16:00:00,3.1
2024-03-12 20:00:00,3.4
2024-03-13 0:00:00,3.1
2024-03-13 4:00:00,1.6
2024-03-13 8:00:00,1.3
2024-03-13 12:00:00,7.0
2024-03-13 16:00:00,3.8
2024-03-13 20:00:00,2.0
2024-03-14 0:00:00,2.0
2024-03-14 4:00:00,2.5
2024-03-14 8:00:00,5.4
2024-03-14 12:00:00,8.0
2024-03-14 16:00:00,1.9
2024-03-14 20:00:00,1.7
2024-03-15 0:00:00,3.1
2024-03-15 4:00:00,5.5
2024-03-15 8:00:00,8.7
2024-03-15 12:00:00,10.1
2024-03-15 16:00:00,3.6
2024-03-15 20:00:00,2.0
2024-03-16 0:00:00,5.0
2024-03-16 4:00:00,6.6
2024-03-16 8:00:00,4.2
2024-03-16 12:00:00,26.5
2024-03-16 16:00:00,4.2
2024-03-16 20:00:00,2.7
2024-03-17 0:00:00,7.6
2024-03-17 4:00:00,3.4
2024-03-17 8:00:00,9.4
2024-03-17 12:00:00,23.9
2024-03-17 16:00:00,6.6
2024-03-17 20:00:00,3.9
2024-03-18 0:00:00,4.7
2024-03-18 4:00:00,5.7
2024-03-18 8:00:00,3.3
2024-03-18 12:00:00,18.2
2024-03-18 16:00:00,1.6
2024-03-18 20:00:00,0.9
2024-03-19 0:00:00,3.3
2024-03-19 4:00:00,9.7
2024-03-19 8:00:00,10.4
2024-03-19 12:00:00,8.7
2024-03-19 16:00:00,3.0
2024-03-19 20:00:00,1.0
2024-03-20 0:00:00,3.2
2024-03-20 4:00:00,2.1
2024-03-20 8:00:00,3.0
2024-03-20 12:00:00,4.9
2024-03-20 16:00:00,2.1
2024-03-20 20:00:00,1.9
2024-03-21 0:00:00,4.2
2024-03-21 4:00:00,2.2
2024-03-21 8:00:00,6.0
2024-03-21 12:00:00,8.6
2024-03-21 16:00:00,4.8
2024-03-21 20:00:00,1.1
2024-03-22 0:00:00,3.0
2024-03-22 4:00:00,0.8
2024-03-22 8:00:00,8.0
2024-03-22 12:00:00,13.8
2024-03-22 16:00:00,2.1
2024-03-22 20:00:00,1.6
2024-03-23 0:00:00,5.2
2024-03-23 4:00:00,2.9
2024-03-23 8:00:00,9.4
2024-03-23 12:00:00,35.8
2024-03-23 16:00:00,7.0
2024-03-23 20:00:00,3.9
2024-03-24 0:00:00,6.9
2024-03-24 4:00:00,9.1
2024-03-24 8:00:00,22.0
2024-03-24 12:00:00,39.0
2024-03-24 16:00:00,10.8
2024-03-24 20:00:00,6.2
2024-03-25 0:00:00,7.0
2024-03-25 4:00:00,5.3
2024-03-25 8:00:00,11.8
2024-03-25 12:00:00,41.0
2024-03-25 16:00:00,5.6
2024-03-25 20:00:00,3.3
2024-03-26 0:00:00,5.4
2024-03-26 4:00:00,5.4
2024-03-26 8:00:00,12.5
2024-03-26 12:00:00,28.0
2024-03-26 16:00:00,7.1
2024-03-26 20:00:00,3.8
2024-03-27 0:00:00,6.3
2024-03-27 4:00:00,2.3
2024-03-27 8:00:00,6.7
2024-03-27 12:00:00,24.8
2024-03-27 16:00:00,1.8
2024-03-27 20:00:00,2.6
2024-03-28 0:00:00,3.6
2024-03-28 4:00:00,3.8
2024-03-28 8:00:00,6.4
2024-03-28 12:00:00,21.9
2024-03-28 16:00:00,7.2
2024-03-28 20:00:00,2.9
2024-03-29 0:00:00,6.3
2024-03-29 4:00:00,12.3
2024-03-29 8:00:00,11.0
2024-03-29 12:00:00,26.9
2024-03-29 16:00:00,7.1
2024-03-29 20:00:00,4.3
2024-03-30 0:00:00,7.3
2024-03-30 4:00:00,11.9
2024-03-30 8:00:00,18.2
2024-03-30 12:00:00,36.0
2024-03-30 16:00:00,7.9
2024-03-30 20:00:00,3.1
2024-03-31 0:00:00,10.0
2024-03-31 4:00:00,6.5
2024-03-31 8:00:00,19.9
2024-03-31 12:00:00,44.5
2024-03-31 16:00:00,13.0
2024-03-31 20:00:00,3.2
2024-04-01 0:00:00,6.1
2024-04-01 4:00:00,6.8
2024-04-01 8:00:00,12.1
2024-04-01 12:00:00,35.6
2024-04-01 16:00:00,13.0
2024-04-01 20:00:00,2.7
2024-04-02 0:00:00,6.0
2024-04-02 4:00:00,6.5
2024-04-02 8:00:00,13.3
2024-04-02 12:00:00,47.6
2024-04-02 16:00:00,9.7
2024-04-02 20:00:00,5.3
2024-04-03 0:00:00,7.3
2024-04-03 4:00:00,5.4
2024-04-03 8:00:00,12.2
2024-04-03 12:00:00,23.6
2024-04-03 16:00:00,8.2
2024-04-03 20:00:00,3.7
2024-04-04 0:00:00,6.9
2024-04-04 4:00:00,5.5
2024-04-04 8:00:00,7.6
2024-04-04 12:00:00,20.8
2024-04-04 16:00:00,7.7
2024-04-04 20:00:00,3.2
2024-04-05 0:00:00,6.9
2024-04-05 4:00:00,5.9
2024-04-05 8:00:00,8.6
2024-04-05 12:00:00,25.0
2024-04-05 16:00:00,9.9
2024-04-05 20:00:00,2.0
2024-04-06 0:00:00,5.9
2024-04-06 4:00:00,4.2
2024-04-06 8:00:00,10.3
2024-04-06 12:00:00,36.0
2024-04-06 16:00:00,15.0
2024-04-06 20:00:00,3.3
2024-04-07 0:00:00,7.2
2024-04-07 4:00:00,7.0
2024-04-07 8:00:00,17.0
2024-04-07 12:00:00,44.4
2024-04-07 16:00:00,12.8
2024-04-07 20:00:00,4.0
2024-04-08 0:00:00,7.4
2024-04-08 4:00:00,4.3
2024-04-08 8:00:00,6.2
2024-04-08 12:00:00,25.2
2024-04-08 16:00:00,10.8
2024-04-08 20:00:00,1.7
2024-04-09 0:00:00,6.0
2024-04-09 4:00:00,6.2
2024-04-09 8:00:00,9.2
2024-04-09 12:00:00,26.8
2024-04-09 16:00:00,8.7
2024-04-09 20:00:00,2.3
2024-04-10 0:00:00,6.7
2024-04-10 4:00:00,6.9
2024-04-10 8:00:00,6.8
2024-04-10 12:00:00,17.1
2024-04-10 16:00:00,11.2
2024-04-10 20:00:00,5.1
2024-04-11 0:00:00,7.5
2024-04-11 4:00:00,6.2
2024-04-11 8:00:00,8.2
2024-04-11 12:00:00,31.8
2024-04-11 16:00:00,8.4
2024-04-11 20:00:00,1.4
2024-04-12 0:00:00,8.3
2024-04-12 4:00:00,6.0
2024-04-12 8:00:00,14.5
2024-04-12 12:00:00,34.6
2024-04-12 16:00:00,11.1
2024-04-12 20:00:00,2.5
2024-04-13 0:00:00,6.7
2024-04-13 4:00:00,7.0
2024-04-13 8:00:00,20.8
2024-04-13 12:00:00,43.5
2024-04-13 16:00:00,19.1
2024-04-13 20:00:00,2.3
2024-04-14 0:00:00,7.8
2024-04-14 4:00:00,9.4
2024-04-14 8:00:00,20.0
2024-04-14 12:00:00,83.5
2024-04-14 16:00:00,27.7
2024-04-14 20:00:00,4.7
2024-04-15 0:00:00,7.6
2024-04-15 4:00:00,5.0
2024-04-15 8:00:00,20.0
2024-04-15 12:00:00,44.9
2024-04-15 16:00:00,16.9
2024-04-15 20:00:00,3.2
2024-04-16 0:00:00,12.2
2024-04-16 4:00:00,19.8
2024-04-16 8:00:00,12.4
2024-04-16 12:00:00,29.8
2024-04-16 16:00:00,12.7
2024-04-16 20:00:00,8.0
2024-04-17 0:00:00,16.0
2024-04-17 4:00:00,15.8
2024-04-17 8:00:00,21.2
2024-04-17 12:00:00,30.2
2024-04-17 16:00:00,10.5
2024-04-17 20:00:00,12.1
2024-04-18 0:00:00,11.6
2024-04-18 4:00:00,8.0
2024-04-18 8:00:00,13.5
2024-04-18 12:00:00,19.6
2024-04-18 16:00:00,11.5
2024-04-18 20:00:00,5.4
2024-04-19 0:00:00,8.2
2024-04-19 4:00:00,6.1
2024-04-19 8:00:00,10.4
